X,budget,company,country,director,genre,gross,name,rating,release_month,runtime,score,star,votes,writer,year,budget_missing,region,direc_freq,comp_freq,season,id,afinn_score,sentiment_best,writer_count,writer_popularity,director_count,director_popularity,star_count,star_popularity
6226,20000000,Ghoulardi Film Company,USA,Paul Thomas Anderson,Comedy,8110975,Inherent Vice,R,1,148,6.7,Joaquin Phoenix,72027,Paul Thomas Anderson,2014,0,North America,2.0794415416798357,1.0986122886681098,Winter,6226,0,0,7,5,7,4,13,4
6227,1000000,Fewlas Entertainment,USA,Leigh Janiak,Horror,9168,Honeymoon,R,9,87,5.7,Rose Leslie,20262,Phil Graziadei,2014,0,North America,0.6931471805599453,0.6931471805599453,Fall,6227,0,0,1,2,1,1,1,2
6228,60000000,Paramount Pictures,USA,Kenneth Branagh,Action,50577412,Jack Ryan: Shadow Recruit,PG-13,1,105,6.2,Chris Pine,105471,Adam Cozad,2014,0,North America,2.5649493574615367,5.560681631015528,Winter,6228,0,0,2,4,12,5,10,4
6229,15000000,Bob Industries,USA,Jean-Marc Vallée,Adventure,37880356,Wild,R,12,115,7.1,Reese Witherspoon,98839,Nick Hornby,2014,0,North America,1.6094379124341003,0.6931471805599453,Winter,6229,0,0,6,5,4,3,15,5
6230,3000000,SModcast Pictures,USA,Kevin Smith,Comedy,1821983,Tusk,R,9,102,5.4,Justin Long,35556,Kevin Smith,2014,0,North America,2.4849066497880004,0.6931471805599453,Fall,6230,0,0,10,5,11,5,3,2
6231,66000000,DreamWorks,USA,Scott Waugh,Action,43577636,Need for Speed,PG-13,3,132,6.5,Aaron Paul,145738,George Gatins,2014,0,North America,0.6931471805599453,4.343805421853684,Spring,6231,0,0,1,2,1,1,2,2
6232,50000000,Reel FX Creative Studios,USA,Jorge R. Gutiérrez,Animation,50151543,The Book of Life,PG,10,95,7.3,Diego Luna,51976,Jorge R. Gutiérrez,2014,0,North America,0.6931471805599453,0.6931471805599453,Fall,6232,0,0,1,2,1,1,2,2
6233,18000000,Good Universe,USA,Nicholas Stoller,Comedy,150157400,Neighbors,R,5,97,6.3,Seth Rogen,242874,Andrew Jay Cohen,2014,0,North America,1.9459101490553132,1.3862943611198906,Spring,6233,0,0,3,4,6,4,8,4
6234,100000000,Metro-Goldwyn-Mayer (MGM),USA,José Padilha,Action,58607007,RoboCop,PG-13,2,117,6.2,Joel Kinnaman,193792,Joshua Zetumer,2014,0,North America,1.3862943611198906,4.624972813284271,Winter,6234,0,0,1,2,3,3,2,2
6235,127000000,Twentieth Century Fox Film Corporation,UK,Shawn Levy,Adventure,113746621,Night at the Museum: Secret of the Tomb,PG,12,98,6.2,Ben Stiller,78239,David Guion,2014,0,Western Europe,2.4849066497880004,5.327876168789581,Winter,6235,0,0,2,4,11,5,27,5
6236,12600000,Big Screen Productions,USA,Michaël R. Roskam,Crime,10724389,The Drop,R,9,106,7.1,Tom Hardy,119833,Dennis Lehane,2014,0,North America,1.0986122886681098,0.6931471805599453,Fall,6236,-1,-1,1,2,2,2,8,4
6237,11000000,DiNovi Pictures,USA,R.J. Cutler,Drama,50474843,If I Stay,PG-13,8,107,6.8,Chloë Grace Moretz,95609,Shauna Cross,2014,0,North America,0.6931471805599453,1.3862943611198906,Summer,6237,0,0,3,4,1,1,4,3
6238,145000000,DreamWorks Animation,USA,Dean DeBlois,Animation,177002924,How to Train Your Dragon 2,PG,6,102,7.8,Jay Baruchel,243596,Dean DeBlois,2014,0,North America,1.3862943611198906,3.258096538021482,Summer,6238,0,0,1,2,3,3,3,2
6239,21000000,G4 Productions,USA,Chris Evans,Comedy,37047,Before We Go,PG-13,7,95,6.9,Chris Evans,34243,Ronald Bass,2014,1,North America,0.6931471805599453,0.6931471805599453,Summer,6239,0,0,6,5,1,1,6,3
6240,5000000,HanWay Films,USA,Adam Wingard,Mystery,322600,The Guest,R,9,100,6.7,Dan Stevens,73747,Simon Barrett,2014,0,North America,1.3862943611198906,1.3862943611198906,Fall,6240,0,0,4,5,3,3,1,2
6241,125000000,Paramount Pictures,USA,Jonathan Liebesman,Action,191204754,Teenage Mutant Ninja Turtles,PG-13,8,101,5.8,Megan Fox,181678,Josh Appelbaum,2014,0,North America,1.791759469228055,5.560681631015528,Summer,6241,0,0,2,4,5,4,3,2
6242,70000000,Summit Entertainment,USA,Renny Harlin,Action,18848538,The Legend of Hercules,PG-13,1,100,4.2,Kellan Lutz,47597,Sean Hood,2014,0,North America,2.772588722239781,3.6635616461296463,Winter,6242,0,0,1,2,15,5,1,2
6243,30000000,Angry Films,USA,Mark Waters,Action,7791146,Vampire Academy,PG-13,2,104,5.6,Zoey Deutch,45199,Richelle Mead,2014,0,North America,2.3978952727983707,1.0986122886681098,Winter,6243,0,0,1,2,10,5,2,2
6244,100000000,Alcon Entertainment,UK,Wally Pfister,Drama,23022309,Transcendence,PG-13,4,119,6.3,Johnny Depp,189106,Jack Paglen,2014,0,Western Europe,0.6931471805599453,3.2188758248682006,Spring,6244,0,0,1,2,1,1,32,5
